"Function","Inferred responsibility","Evidence","Confidence"
"FUN_00412923","Load a Logic Friday `.lfcn` function file.","Opens input as `rb`, verifies `""LTK1""`, checks stored version against `DAT_004519e4`, reads 0x2700-byte base state, allocates truth-table and mapping buffers, restores optional EMF via `SetEnhMetaFileBits`.","High"
"FUN_0041338b","Destructor/deallocator for a vector of 0xfc-byte objects.","Calls `_eh_vector_destructor_iterator_` and `_free` depending on flags.","Medium"
"FUN_004133f5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004133f5; calling convention __thiscall; parameter count 6; return type undefined4.","Unmapped"
"FUN_00413c2e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00413c2e; calling convention __thiscall; parameter count 4; return type undefined.","Unmapped"
"FUN_00413e13","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00413e13; calling convention __thiscall; parameter count 4; return type undefined.","Unmapped"
"FUN_00413fc6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00413fc6; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00414024","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00414024; calling convention __thiscall; parameter count 3; return type int.","Unmapped"
"FUN_00414543","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00414543; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00414592","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00414592; calling convention __thiscall; parameter count 3; return type int.","Unmapped"
"FUN_00414ab1","Write external-tool input files (`minin.dat`/`checkin.dat`) before running Espresso/MISII.","Called immediately before setting command lines and launching `FUN_0040c196`; surrounding object path fields include `minin.dat`, `checkin.dat`.","Medium"
"FUN_00414f40","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00414f40; calling convention __thiscall; parameter count 2; return type int.","Unmapped"
"FUN_0041509f","Copy current gate diagram to the clipboard as enhanced metafile and bitmap.","Calls `CopyEnhMetaFileA`, `OpenClipboard`, `EmptyClipboard`, `SetClipboardData(CF_ENHMETAFILE)`, then renders bitmap with `PlayEnhMetaFile`.","High"
"FUN_004151da","Copy another generated metafile view to the clipboard as enhanced metafile and optional bitmap.","Creates EMF via `FUN_00436925`, renders bitmap from `GetEnhMetaFileHeader`, writes both clipboard formats.","Medium"
"FUN_00415364","Load persisted window placement, folder paths, and warning flags from `lf.ini`.","Uses `GetPrivateProfileStructA`, `GetPrivateProfileStringA`, and `GetPrivateProfileIntA`.","High"
"FUN_00415663","Save window placement, folder paths, and warning flags to `lf.ini`.","Uses `WritePrivateProfileStructA` and `WritePrivateProfileStringA`.","High"
"FUN_00415864","Extract application directory from module path.","Finds final backslash; copies directory prefix or defaults to empty string.","High"
"FUN_004158aa","Relax security on generated temp files when using the temporary working directory.","Creates security descriptor and calls `SetFileSecurityA` for `minin.dat`, `minout.dat`, and `user.genlib`.","Medium"
"FUN_00415979","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00415979; calling convention __stdcall; parameter count 2; return type char *.","Unmapped"
"FUN_004159f6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004159f6; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00415a02","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00415a02; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_00415d83","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00415d83; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_00415d99","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00415d99; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00415dbd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00415dbd; calling convention __thiscall; parameter count 3; return type undefined.","Unmapped"
"FUN_00415dd9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00415dd9; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_004160ec","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004160ec; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00416134","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00416134; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_004161ea","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004161ea; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00416425","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00416425; calling convention __stdcall; parameter count 3; return type undefined4.","Unmapped"
"FUN_004164b1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004164b1; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0041681b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041681b; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00416a26","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00416a26; calling convention __thiscall; parameter count 6; return type int.","Unmapped"
"FUN_00416ff2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00416ff2; calling convention __stdcall; parameter count 4; return type undefined4.","Unmapped"
"FUN_004170c1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004170c1; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_004175ae","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004175ae; calling convention __thiscall; parameter count 3; return type bool.","Unmapped"
"FUN_004175df","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004175df; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_0041770d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041770d; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00417769","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00417769; calling convention __thiscall; parameter count 3; return type int.","Unmapped"
"FUN_00417a75","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00417a75; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_00417acd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00417acd; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_00417c56","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00417c56; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00417cde","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00417cde; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00417d61","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00417d61; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00418362","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00418362; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_004194bc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004194bc; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_004195f3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004195f3; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_004198c3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004198c3; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_00419da2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00419da2; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0041a18a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a18a; calling convention __stdcall; parameter count 2; return type undefined.","Unmapped"
"FUN_0041a230","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a230; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_0041a255","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a255; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_0041a2d5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a2d5; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0041a2e8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a2e8; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0041a306","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a306; calling convention __thiscall; parameter count 2; return type bool.","Unmapped"
"FUN_0041a338","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a338; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0041a350","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a350; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0041a38c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a38c; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_0041a41f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a41f; calling convention __thiscall; parameter count 3; return type undefined.","Unmapped"
"FUN_0041a43b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a43b; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_0041a5b2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a5b2; calling convention __fastcall; parameter count 1; return type bool.","Unmapped"
"FUN_0041a687","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041a687; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0041ac36","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041ac36; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_0041b260","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041b260; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_0041c423","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041c423; calling convention __stdcall; parameter count 4; return type uint.","Unmapped"
"FUN_0041c581","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041c581; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0041c6a8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041c6a8; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0041c712","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041c712; calling convention __fastcall; parameter count 1; return type bool.","Unmapped"
"FUN_0041c785","Construct/initialize a function model object.","Allocates buffers for expressions, truth-table arrays, diagram data, labels such as `""Entered:""`, `""Minimized:""`, default capacities.","High"
"FUN_0041cbd4","Clone a function model object.","Allocates new buffers and copies arrays, strings, truth table, and diagram/metafile-related members from another function.","High"
"FUN_0041d5e1","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041d8f2","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041d91b","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041d944","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041def5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041def5; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_0041df4d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041df4d; calling convention __thiscall; parameter count 3; return type undefined.","Unmapped"
"FUN_0041dfe3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041dfe3; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0041e0c1","Generate equation/PLA data from a function model for minimization or testing.","Called in random truth-table/minimize flows before external tool launch; returns app error codes.","Medium"
"FUN_0041e12f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041e12f; calling convention __thiscall; parameter count 5; return type int.","Unmapped"
"FUN_0041e1a4","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041e1a4; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0041e4dd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0041e4dd; calling convention __stdcall; parameter count 0; return type int.","Unmapped"
"FUN_00420023","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00420023; calling convention __thiscall; parameter count 3; return type int.","Unmapped"
"FUN_00420265","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00420265; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_0042038b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042038b; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_004207ae","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004207ae; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_0042093b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042093b; calling convention __thiscall; parameter count 3; return type int.","Unmapped"
"FUN_004209b2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004209b2; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_00421093","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00421093; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00421516","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00421516; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0042166a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042166a; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_004219f6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004219f6; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_00421aa2","Parse external output back into function/gate data.","Called after reading generated files; nearby code scans text lines until `.e`, typical PLA terminator.","Medium"
"FUN_00421b02","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00421b02; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00421c38","Parse external output back into function/gate data.","Called after reading generated files; nearby code scans text lines until `.e`, typical PLA terminator.","Medium"
"FUN_00421d2a","Parse external output back into function/gate data.","Called after reading generated files; nearby code scans text lines until `.e`, typical PLA terminator.","Medium"
"FUN_00421eb4","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00421eb4; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00422090","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00422090; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_004225c6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004225c6; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00422a3c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00422a3c; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_004231b6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004231b6; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00423a22","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00423a22; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0042424d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042424d; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_004242ed","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004242ed; calling convention __stdcall; parameter count 2; return type int.","Unmapped"
"FUN_00424322","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00424322; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00424347","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00424347; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"FUN_00424b74","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00424b74; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00424ceb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00424ceb; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0042564a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042564a; calling convention __thiscall; parameter count 6; return type undefined.","Unmapped"
"FUN_004258e1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004258e1; calling convention __thiscall; parameter count 4; return type undefined.","Unmapped"
"FUN_00425991","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00425991; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00425b8e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00425b8e; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_00425f03","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00425f03; calling convention __stdcall; parameter count 5; return type undefined.","Unmapped"
"FUN_00426f50","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00426f50; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00427686","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00427686; calling convention __thiscall; parameter count 7; return type undefined4.","Unmapped"
"FUN_00427c43","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00427c43; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"FUN_004286f7","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004286f7; calling convention __thiscall; parameter count 3; return type undefined.","Unmapped"
"FUN_004287c6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004287c6; calling convention __thiscall; parameter count 4; return type undefined.","Unmapped"
"FUN_00428837","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00428837; calling convention __thiscall; parameter count 8; return type undefined4.","Unmapped"
"FUN_00428eb1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00428eb1; calling convention __thiscall; parameter count 6; return type int.","Unmapped"
"FUN_00429288","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00429288; calling convention __thiscall; parameter count 5; return type int.","Unmapped"
"FUN_0042953c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042953c; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_004297b5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004297b5; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0042999a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042999a; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00429b01","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00429b01; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00429fe2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00429fe2; calling convention __thiscall; parameter count 2; return type int.","Unmapped"
"FUN_0042a6d9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042a6d9; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0042aca7","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042aca7; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0042af77","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042af77; calling convention __stdcall; parameter count 2; return type undefined.","Unmapped"
"FUN_0042b22e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042b22e; calling convention __thiscall; parameter count 5; return type LRESULT.","Unmapped"
"FUN_0042e896","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042e896; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0042e94c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042e94c; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0042edfd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042edfd; calling convention __thiscall; parameter count 6; return type undefined4.","Unmapped"
"FUN_0042f2a2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042f2a2; calling convention __stdcall; parameter count 5; return type undefined4.","Unmapped"
"FUN_0042fa9d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042fa9d; calling convention __thiscall; parameter count 3; return type int.","Unmapped"
"FUN_0042fb5a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042fb5a; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0042fcbc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0042fcbc; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"FUN_00430039","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00430039; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043049d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043049d; calling convention __stdcall; parameter count 6; return type undefined.","Unmapped"
"FUN_004305a5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004305a5; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_004306d3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004306d3; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"FUN_0043147c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043147c; calling convention __thiscall; parameter count 6; return type uint.","Unmapped"
"FUN_00431666","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00431666; calling convention __thiscall; parameter count 7; return type uint.","Unmapped"
"FUN_00431cac","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00431cac; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00431d3b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00431d3b; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_00431daa","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00431daa; calling convention __thiscall; parameter count 6; return type undefined4.","Unmapped"
"FUN_004326bc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004326bc; calling convention __thiscall; parameter count 4; return type int.","Unmapped"
"FUN_00434112","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00434112; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_00434433","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00434433; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_004349ff","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004349ff; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00434e03","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00434e03; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_0043510c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043510c; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00435399","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00435399; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"FUN_004358b3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004358b3; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_00435ac0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00435ac0; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_00435e82","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00435e82; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_004362c1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004362c1; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_00436748","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00436748; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_00436863","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00436863; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00436925","Build or prepare an enhanced metafile representation of the gate diagram.","Called before copying/exporting diagrams; outputs `HENHMETAFILE`.","Medium"
"FUN_00436c32","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00436c32; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_004372d9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004372d9; calling convention __stdcall; parameter count 3; return type undefined.","Unmapped"
"FUN_00437348","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00437348; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_004373f1","Build or prepare an enhanced metafile representation of the gate diagram.","Called before copying/exporting diagrams; outputs `HENHMETAFILE`.","Medium"
"FUN_00437b1f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00437b1f; calling convention __thiscall; parameter count 5; return type LRESULT.","Unmapped"
"FUN_00439133","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439133; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
